time,flux,error
2457824.86557,1.00184798867,0.000577317206939
2457824.86596,1.00097752297,0.000572506230215
2457824.86634,1.00077841645,0.000572506230215
2457824.86671,1.00019210277,0.00056769525349
2457824.86709,1.00101754439,0.00056769525349
2457824.86747,0.99966882282,0.00056769525349
2457824.86784,1.00114161076,0.00056769525349
2457824.86822,0.999098517707,0.000562884276766
2457824.86861,1.00075840575,0.00056769525349
2457824.86898,1.00035018735,0.00056769525349
2457824.86936,1.00091248818,0.000562884276766
2457824.86974,1.00014107548,0.000562884276766
2457824.87013,0.997313562756,0.000562884276766
2457824.87051,0.999588779997,0.000562884276766
2457824.87088,0.999981990365,0.000562884276766
2457824.87126,1.00280650148,0.000572506230215
2457824.87164,0.999799892943,0.000562884276766
2457824.87203,1.00164988269,0.000562884276766
2457824.8724,0.999974986618,0.000558073300041
2457824.87278,1.00137973816,0.000558073300041
2457824.87316,1.00306463958,0.000562884276766
2457824.87353,1.00117362789,0.000558073300041
2457824.87391,1.00141475689,0.000558073300041
2457824.87429,1.00144277188,0.000577317206939
2457824.87467,0.999428694351,0.00056769525349
2457824.87505,1.00125867339,0.000572506230215
2457824.87542,1.0012476675,0.00056769525349
2457824.8758,0.999740861361,0.000562884276766
2457824.87617,0.999809898296,0.000558073300041
2457824.87655,1.00004102195,0.000558073300041
2457824.87693,1.0000340182,0.000553262323317
2457824.87731,1.00098152512,0.000548451346592
2457824.87768,0.999155548218,0.000558073300041
2457824.87806,1.00134071728,0.000562884276766
2457824.87844,1.00144977563,0.000553262323317
2457824.87881,1.00020510973,0.000558073300041
2457824.87919,1.00044023553,0.000553262323317
2457824.87957,1.00139474619,0.000548451346592
2457824.87995,1.0012816857,0.000548451346592
2457824.88032,1.00066035329,0.000548451346592
2457824.8807,1.00077241324,0.00056769525349
2457824.88108,1.00036719645,0.000553262323317
2457824.88146,1.00125767285,0.000548451346592
2457824.88183,1.00042322643,0.000553262323317
2457824.88221,0.998823370503,0.000548451346592
2457824.8826,1.00034618521,0.000543640369868
2457824.88298,0.999643809438,0.000548451346592
2457824.88336,0.999336645105,0.000543640369868
2457824.88374,0.998904413861,0.000548451346592
2457824.88411,1.00089848069,0.000548451346592
2457824.88449,1.00233825096,0.000543640369868
2457824.88488,1.00036319431,0.000543640369868
